target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	0	0
ENST00000632205.1	532	283	9	0.740446
ENST00000632891.1	380	131.001	0.7582	0.134755
ENST00000633250.1	445	196	0.516124	0.0613105
ENST00000631614.2	398	149	0	0
ENST00000633273.1	409	160	4.34171	0.631798
ENST00000632088.2	392	143	3.11854	0.507752
ENST00000632502.1	398	149	0	0
ENST00000632887.1	442	193	11.9351	1.43981
ENST00000632011.1	378	129.001	0	0
ENST00000632229.1	378	129.001	0.658287	0.118811
ENST00000632822.1	400	151	14.6809	2.26367
ENST00000631699.1	406	157	1	0.148299
ENST00000633851.1	390	141	1	0.165127
ENST00000631531.1	382	133.001	0	0
ENST00000633682.1	390	141	4.26958	0.705022
ENST00000632910.1	390	141	3.64934	0.602604
ENST00000634204.1	324	75.5516	0	0
ENST00000632835.1	382	133.001	0.303074	0.0530557
ENST00000632103.1	398	149	0	0
ENST00000631411.1	398	149	0	0
ENST00000632811.1	312	64.392	1	0.361581
ENST00000632384.1	314	66.2053	0	0
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	2.49703	0.259545
ENST00000633833.1	402	153	0	0
ENST00000632076.1	415	166	1.56109	0.218956
ENST00000633490.1	413	164	0	0
ENST00000632333.1	353	104.031	0.522776	0.117001
ENST00000632151.1	391	142	1.38625	0.227295
ENST00000632977.1	395	146	0	0
ENST00000612474.2	402	153	10.4753	1.59408
ENST00000633618.1	427	178	0	0
ENST00000631807.1	420	171	9.43317	1.28439
ENST00000632980.1	432	183	7.84092	0.997592
ENST00000631826.1	411	162	0	0
ENST00000632719.1	425	176	1	0.132289
ENST00000633426.1	571	322	1.31145	0.0948271
ENST00000631755.1	425	176	0	0
ENST00000631975.1	430	181	0.5	0.0643174
ENST00000633147.1	412	163	0	0
ENST00000631869.1	353	104.031	8.29365	1.85618
ENST00000633752.1	353	104.031	1	0.223807
ENST00000631710.1	433	184	0	0
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	0	0
ENST00000620764.2	412	163	0	0
ENST00000633988.1	432	183	7.12721	0.906788
ENST00000632457.1	382	133.001	0	0
ENST00000619078.2	495	246	6.77432	0.641162
ENST00000632173.1	434	185	0	0
ENST00000633040.1	435	186	0	0
ENST00000632846.1	429	180	0	0
ENST00000633602.1	439	190	0	0
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	0.780856	0.0993475
ENST00000633446.1	411	162	3.8575	0.554406
ENST00000632614.1	414	165	0	0
ENST00000560724.3	378	129.001	1	0.180486
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0	0
ENST00000631708.1	439	190	0	0
ENST00000632960.1	457	208	1.93931	0.217081
ENST00000633987.1	589	340	7.65343	0.5241
ENST00000632005.1	434	185	0	0
ENST00000633570.1	349	100.049	6	1.39629
ENST00000615784.2	353	104.031	0	0
ENST00000633400.1	431	182	0	0
ENST00000631379.1	417	168	0	0
ENST00000632882.1	414	165	4.58374	0.646805
ENST00000632211.1	439	190	0	0
ENST00000632105.1	657	408	5.22038	0.297906
ENST00000632630.1	432	183	4.15547	0.528696
ENST00000633299.1	417	168	0	0
ENST00000633350.1	417	168	3.92328	0.543723
ENST00000390282.2	419	170	0	0
ENST00000390287.2	365	116.007	0	0
ENST00000390283.2	414	165	1	0.141108
ENST00000390284.2	362	113.011	0	0
ENST00000390285.4	353	104.031	1	0.223807
ENST00000390286.3	381	132.001	0	0
ENST00000390289.2	379	130.001	22	3.94015
ENST00000390290.3	389	140	11	1.82937
ENST00000390291.2	405	156	2	0.298499
ENST00000427632.2	409	160	0	0
ENST00000390293.1	369	120.004	0	0
ENST00000390294.2	407	158	2.50875	0.36969
ENST00000390295.3	385	136	3	0.513592
ENST00000390296.2	397	148	0	0
ENST00000390297.3	467	218	8.72065e-05	9.31385e-06
ENST00000390298.2	385	136	0.5	0.0855986
ENST00000390299.2	407	158	1.63931	0.241569
ENST00000390300.2	374	125.002	0	0
ENST00000390301.3	393	144	0	0
ENST00000390302.3	412	163	0	0
ENST00000390303.3	383	134.001	0	0
ENST00000390304.2	377	128.001	0	0
ENST00000390305.2	380	131.001	0	0
ENST00000390306.2	502	253	16.3552	1.50513
ENST00000390307.2	409	160	0	0
ENST00000390308.2	602	353	15	0.989358
ENST00000390309.2	377	128.001	11	2.00085
ENST00000390310.3	367	118.006	0	0
ENST00000390311.3	385	136	0	0
ENST00000390312.2	402	153	16.8403	2.56268
ENST00000390315.3	382	133.001	0	0
ENST00000390316.2	461	212	0	0
ENST00000620395.2	517	268	12.7748	1.10983
ENST00000390318.2	403	154	0	0
ENST00000390319.2	398	149	8	1.25009
ENST00000390313.3	356	107.022	0	0
ENST00000390314.2	400	151	6.87107	1.05946
ENST00000604066.1	353	104.031	2.39813	0.536718
ENST00000557788.2	353	104.031	0	0
ENST00000630556.1	353	104.031	2.39813	0.536718
ENST00000622410.2	353	104.031	1.61375	0.361168
ENST00000610349.2	407	158	1.63931	0.241569
ENST00000628287.1	466	217	8.21254	0.88116
ENST00000627634.1	383	134.001	0	0
ENST00000628968.1	374	125.002	0	0
ENST00000618644.2	385	136	0.5	0.0855986
ENST00000618026.2	393	144	0	0
ENST00000630493.1	369	120.004	0	0
ENST00000629472.1	412	163	0	0
ENST00000626489.1	397	148	0	0
ENST00000354689.6	294	49.2782	0	0
ENST00000567458.2	358	109.017	0	0
ENST00000425181.3	350	101.044	0	0
ENST00000565407.2	349	100.049	0	0
ENST00000570121.2	353	104.031	0	0
ENST00000562905.2	353	104.031	0	0
ENST00000628219.1	534	285	0	0
ENST00000627132.1	384	135.001	0	0
ENST00000626108.1	353	104.031	0	0
ENST00000338912.5	353	104.031	0	0
ENST00000558565.2	359	110.015	0	0
ENST00000569103.2	349	100.049	0	0
ENST00000453673.3	353	104.031	0	0
ENST00000390243.2	538	289	40	3.22255
ENST00000464162.1	380	131.001	0.7582	0.134755
ENST00000390247.2	445	196	0.516124	0.0613105
ENST00000495489.1	398	149	0	0
ENST00000493819.1	409	160	4.34171	0.631798
ENST00000483158.1	392	143	3.11854	0.507752
ENST00000480492.1	398	149	0	0
ENST00000390252.2	442	193	11.9351	1.43981
ENST00000479981.1	378	129.001	0	0
ENST00000490686.1	378	129.001	0.658287	0.118811
ENST00000492167.1	400	151	14.6809	2.26367
ENST00000390256.2	406	157	1	0.148299
ENST00000484817.1	390	141	1	0.165127
ENST00000498435.1	382	133.001	0	0
ENST00000482769.1	390	141	4.26958	0.705022
ENST00000468494.1	390	141	3.64934	0.602604
ENST00000473726.1	382	133.001	0.303074	0.0530557
ENST00000465170.1	398	149	0	0
ENST00000498574.1	398	149	0	0
ENST00000620613.1	314	66.2053	0	0
ENST00000448155.2	376	127.002	20.8076	3.8146
ENST00000509129.1	353	104.031	0	0
ENST00000390265.2	440	191	6.58629	0.802868
ENST00000474213.1	395	146	0	0
ENST00000491977.1	390	141	0	0
ENST00000453166.2	396	147	0	0
ENST00000390268.2	390	141	0	0
ENST00000462693.1	390	141	1	0.165127
ENST00000436451.2	409	160	1	0.145518
ENST00000390270.2	445	196	2.50397	0.297447
ENST00000390271.2	371	122.003	0	0
ENST00000483379.1	532	283	0	0
ENST00000492446.1	378	129.001	0	0
ENST00000417279.3	396	147	1.29235	0.204692
ENST00000611391.1	376	127.002	0	0
ENST00000377032.5	371	122.003	1.57644	0.300844
ENST00000390277.3	444	195	6.70241	0.800264
ENST00000390278.3	373	124.002	0	0
ENST00000468879.1	532	283	0	0
ENST00000471857.2	534	285	0	0
ENST00000443397.5	384	135.001	0	0
ENST00000421835.2	350	101.044	0	0
ENST00000429992.3	365	116.007	1.16215	0.233246
ENST00000390244.2	408	159	0	0
ENST00000496168.1	532	283	9	0.740446
ENST00000390609.3	432	183	4.15547	0.528696
ENST00000390616.2	400	151	0	0
ENST00000390618.2	426	177	0	0
ENST00000390612.3	425	176	1	0.132289
ENST00000390607.2	430	181	0	0
ENST00000632099.1	353	104.031	0.522776	0.117001
ENST00000390617.2	366	117.006	0	0
ENST00000390603.2	437	188	2.21188	0.27393
ENST00000390606.3	415	166	1.56109	0.218956
ENST00000390610.2	411	162	0	0
ENST00000390615.2	431	182	3.74239	0.478756
ENST00000603660.1	431	182	0	0
ENST00000632950.2	410	161	0	0
ENST00000390611.2	381	132.001	0	0
ENST00000390605.2	410	161	5.63431	0.814802
ENST00000438142.3	428	179	0	0
ENST00000390602.3	430	181	0.5	0.0643174
ENST00000390604.2	425	176	0	0
ENST00000390601.3	473	224	2.49703	0.259545
ENST00000390619.2	425	176	0	0
ENST00000434710.1	434	185	0	0
ENST00000390621.3	411	162	0	0
ENST00000390622.2	655	406	0	0
ENST00000390624.3	432	183	0.780856	0.0993475
ENST00000390625.3	439	190	0	0
ENST00000390626.2	410	161	0	0
ENST00000390627.3	571	322	1.31145	0.0948271
ENST00000390628.3	414	165	0	0
ENST00000390629.3	495	246	6.77432	0.641162
ENST00000519403.2	307	59.9608	0	0
ENST00000390593.2	415	166	2	0.280517
ENST00000390594.3	417	168	3.92328	0.543723
ENST00000390595.3	395	146	0	0
ENST00000455737.2	417	168	0	0
ENST00000631943.1	402	153	0	0
ENST00000390597.3	378	129.001	1	0.180486
ENST00000390598.2	430	181	0	0
ENST00000390630.3	457	208	1.93931	0.217081
ENST00000454421.2	431	182	0	0
ENST00000390632.2	427	178	0.279955	0.0366189
ENST00000390633.2	412	163	0	0
ENST00000390634.3	434	185	0	0
ENST00000632209.1	353	104.031	0	0
ENST00000624687.1	411	162	3.8575	0.554406
