target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	16.5	1.68424
ENST00000632205.1	532	283	5563.4	319.058
ENST00000632891.1	380	131.001	247.787	30.6986
ENST00000633250.1	445	196	49.5188	4.10044
ENST00000631614.2	398	149	38.7378	4.21953
ENST00000633273.1	409	160	515.607	52.3016
ENST00000632088.2	392	143	3038.89	344.901
ENST00000632502.1	398	149	307.456	33.4898
ENST00000632887.1	442	193	1701.17	143.056
ENST00000632011.1	378	129.001	142.225	17.8936
ENST00000632229.1	378	129.001	1269.36	159.701
ENST00000632822.1	400	151	11271	1211.44
ENST00000631699.1	406	157	95.6735	9.89026
ENST00000633851.1	390	141	133.418	15.3571
ENST00000631531.1	382	133.001	351.238	42.8612
ENST00000633682.1	390	141	34.8902	4.01605
ENST00000632910.1	390	141	256.94	29.5752
ENST00000634204.1	324	75.5516	221.689	47.623
ENST00000632835.1	382	133.001	164.721	20.1007
ENST00000632103.1	398	149	9.4433	1.02862
ENST00000631411.1	398	149	167.934	18.2923
ENST00000632811.1	312	64.392	0	0
ENST00000632384.1	314	66.2053	7.37752	1.80856
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	330.623	23.9553
ENST00000633833.1	402	153	540.867	57.374
ENST00000632076.1	415	166	149.491	14.6158
ENST00000633490.1	413	164	209.988	20.781
ENST00000632333.1	353	104.031	23.0532	3.59653
ENST00000632151.1	391	142	45.0337	5.14713
ENST00000632977.1	395	146	1193.83	132.711
ENST00000612474.2	402	153	2977.27	315.823
ENST00000633618.1	427	178	1085.58	98.9826
ENST00000631807.1	420	171	2208.19	209.583
ENST00000632980.1	432	183	2237.09	198.403
ENST00000631826.1	411	162	3.51997	0.352647
ENST00000632719.1	425	176	13.9935	1.29041
ENST00000633426.1	571	322	538.102	27.1222
ENST00000631755.1	425	176	1.5063	0.138904
ENST00000631975.1	430	181	33.6672	3.01887
ENST00000633147.1	412	163	5497.26	547.362
ENST00000631869.1	353	104.031	1146.13	178.807
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	205.775	18.1506
ENST00000632225.1	368	119.005	0	0
