target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	19	1.98
ENST00000632205.1	532	283	11196.3	655.535
ENST00000632891.1	380	131.001	1504.81	190.334
ENST00000633250.1	445	196	129.945	10.9853
ENST00000631614.2	398	149	112.49	12.5094
ENST00000633273.1	409	160	2703.82	280.005
ENST00000632088.2	392	143	4354.81	504.593
ENST00000632502.1	398	149	653.012	72.6178
ENST00000632887.1	442	193	9014.33	773.9
ENST00000632011.1	378	129.001	484.222	62.1955
ENST00000632229.1	378	129.001	984.892	126.504
ENST00000632822.1	400	151	12334.6	1353.5
ENST00000631699.1	406	157	455.978	48.123
ENST00000633851.1	390	141	224.565	26.3894
ENST00000631531.1	382	133.001	505.751	63.0074
ENST00000633682.1	390	141	0	0
ENST00000632910.1	390	141	810.289	95.2201
ENST00000634204.1	324	75.5516	156.458	34.3133
ENST00000632835.1	382	133.001	0	0
ENST00000632103.1	398	149	1.59261	0.177105
ENST00000631411.1	398	149	1568.49	174.423
ENST00000632811.1	312	64.392	34.8634	8.9711
ENST00000632384.1	314	66.2053	8.65	2.16487
ENST00000622028.1	353	104.031	2.55372	0.406741
ENST00000634015.1	473	224	775.803	57.3868
ENST00000633833.1	402	153	706.621	76.525
ENST00000632076.1	415	166	802.088	80.0612
ENST00000633490.1	413	164	2467.96	249.346
ENST00000632333.1	353	104.031	3.21909	0.512717
ENST00000632151.1	391	142	30.7604	3.58931
ENST00000632977.1	395	146	189.031	21.453
ENST00000612474.2	402	153	1294.33	140.173
ENST00000633618.1	427	178	1.22486e-05	1.14019e-06
ENST00000631807.1	420	171	471.621	45.6989
ENST00000632980.1	432	183	4225.6	382.601
ENST00000631826.1	411	162	18.6176	1.90422
ENST00000632719.1	425	176	194.116	18.275
ENST00000633426.1	571	322	538.469	27.7085
ENST00000631755.1	425	176	16.8882	1.58993
ENST00000631975.1	430	181	6.75915	0.61876
ENST00000633147.1	412	163	3419.68	347.621
ENST00000631869.1	353	104.031	1622.96	258.495
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	621.518	55.9686
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	3386.09	295.293
ENST00000620764.2	412	163	2133.63	216.89
ENST00000633988.1	432	183	2713.76	245.713
ENST00000632457.1	382	133.001	115.71	14.4153
ENST00000619078.2	495	246	6985.04	470.481
ENST00000632173.1	434	185	101.197	9.06366
ENST00000633040.1	435	186	793.199	70.6606
ENST00000632846.1	429	180	240.688	22.156
ENST00000633602.1	439	190	265.295	23.1358
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	284.747	25.782
ENST00000633446.1	411	162	978.477	100.079
ENST00000632614.1	414	165	27.0181	2.71319
ENST00000560724.3	378	129.001	1178.89	151.422
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0.00256197	0.000238485
ENST00000631708.1	439	190	353.505	30.8284
ENST00000632960.1	457	208	45.8447	3.65203
ENST00000633987.1	589	340	5328.65	259.685
ENST00000632005.1	434	185	493.135	44.1675
ENST00000633570.1	349	100.049	43.6503	7.22908
ENST00000615784.2	353	104.031	255.638	40.7166
ENST00000633400.1	431	182	78.2827	7.12694
ENST00000631379.1	417	168	204.135	20.1334
ENST00000632882.1	414	165	1743.29	175.063
ENST00000632211.1	439	190	756.475	65.9705
ENST00000632105.1	657	408	2359.47	95.8213
ENST00000632630.1	432	183	2449.11	221.751
ENST00000633299.1	417	168	590.411	58.2309
ENST00000633350.1	417	168	1831.71	180.658
ENST00000390282.2	419	170	400.374	39.0234
ENST00000390287.2	365	116.007	34	4.85626
ENST00000390283.2	414	165	2534.93	254.56
ENST00000390284.2	362	113.011	202	29.617
ENST00000390285.4	353	104.031	5579	888.59
ENST00000390286.3	381	132.001	10	1.25525
ENST00000390289.2	379	130.001	117	14.9124
ENST00000390290.3	389	140	5142.21	608.596
ENST00000390291.2	405	156	20.5083	2.17827
ENST00000427632.2	409	160	773	80.0512
ENST00000390293.1	369	120.004	14.2789	1.97155
ENST00000390294.2	407	158	3928.38	411.969
