target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	0	0
ENST00000632205.1	532	283	3.8404	0.969523
ENST00000632891.1	380	131.001	0	0
ENST00000633250.1	445	196	0.5	0.182256
ENST00000631614.2	398	149	0	0
ENST00000633273.1	409	160	1.38049	0.616425
ENST00000632088.2	392	143	3.94403	1.97048
ENST00000632502.1	398	149	0	0
ENST00000632887.1	442	193	4.76091	1.76238
ENST00000632011.1	378	129.001	0	0
ENST00000632229.1	378	129.001	2.27911	1.26223
ENST00000632822.1	400	151	8.56948	4.05458
ENST00000631699.1	406	157	0.5	0.22753
ENST00000633851.1	390	141	0.666667	0.337798
ENST00000631531.1	382	133.001	0.5	0.268586
ENST00000633682.1	390	141	1	0.506697
ENST00000632910.1	390	141	0.5	0.253348
ENST00000634204.1	324	75.5516	0	0
ENST00000632835.1	382	133.001	0.5	0.268586
ENST00000632103.1	398	149	0	0
ENST00000631411.1	398	149	0	0
ENST00000632811.1	312	64.392	0	0
ENST00000632384.1	314	66.2053	0	0
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	0.818969	0.261209
ENST00000633833.1	402	153	0.5	0.233478
ENST00000632076.1	415	166	1	0.430388
ENST00000633490.1	413	164	0	0
ENST00000632333.1	353	104.031	0	0
ENST00000632151.1	391	142	0	0
ENST00000632977.1	395	146	0	0
ENST00000612474.2	402	153	0	0
ENST00000633618.1	427	178	0	0
ENST00000631807.1	420	171	2.39791	1.00186
ENST00000632980.1	432	183	0	0
ENST00000631826.1	411	162	0	0
ENST00000632719.1	425	176	0	0
ENST00000633426.1	571	322	0	0
ENST00000631755.1	425	176	0	0
ENST00000631975.1	430	181	0	0
ENST00000633147.1	412	163	7	3.06816
ENST00000631869.1	353	104.031	0	0
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	0	0
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	0	0
ENST00000620764.2	412	163	0	0
ENST00000633988.1	432	183	0	0
ENST00000632457.1	382	133.001	4.78559e-07	2.57069e-07
ENST00000619078.2	495	246	1.5	0.435636
ENST00000632173.1	434	185	0	0
ENST00000633040.1	435	186	0	0
ENST00000632846.1	429	180	1.74404	0.692234
ENST00000633602.1	439	190	0	0
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	0.804638	0.314136
ENST00000633446.1	411	162	0	0
ENST00000632614.1	414	165	0	0
ENST00000560724.3	378	129.001	1.5	0.83074
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0	0
ENST00000631708.1	439	190	0	0
ENST00000632960.1	457	208	0	0
ENST00000633987.1	589	340	6.73025	1.41423
ENST00000632005.1	434	185	0	0
ENST00000633570.1	349	100.049	0	0
ENST00000615784.2	353	104.031	0	0
ENST00000633400.1	431	182	0	0
ENST00000631379.1	417	168	3.82045	1.6247
ENST00000632882.1	414	165	0	0
ENST00000632211.1	439	190	0	0
ENST00000632105.1	657	408	2.70221	0.47318
ENST00000632630.1	432	183	4.94649	1.93114
ENST00000633299.1	417	168	0	0
ENST00000633350.1	417	168	0.5	0.212632
ENST00000390282.2	419	170	1	0.420261
ENST00000390287.2	365	116.007	0	0
ENST00000390283.2	414	165	1	0.432996
ENST00000390284.2	362	113.011	0	0
ENST00000390285.4	353	104.031	0	0
ENST00000390286.3	381	132.001	0	0
ENST00000390289.2	379	130.001	19	10.4418
ENST00000390290.3	389	140	4	2.04126
ENST00000390291.2	405	156	0	0
ENST00000427632.2	409	160	1	0.446527
ENST00000390293.1	369	120.004	0	0
ENST00000390294.2	407	158	2.30046	1.04022
ENST00000390295.3	385	136	0	0
ENST00000390296.2	397	148	0	0
ENST00000390297.3	467	218	0.000122749	4.02282e-05
ENST00000390298.2	385	136	0	0
ENST00000390299.2	407	158	0.5	0.22609
ENST00000390300.2	374	125.002	0	0
ENST00000390301.3	393	144	0	0
ENST00000390302.3	412	163	0	0
ENST00000390303.3	383	134.001	0	0
ENST00000390304.2	377	128.001	0	0
ENST00000390305.2	380	131.001	0	0
ENST00000390306.2	502	253	7	1.97672
ENST00000390307.2	409	160	0	0
ENST00000390308.2	602	353	0	0
ENST00000390309.2	377	128.001	4	2.23261
ENST00000390310.3	367	118.006	0	0
ENST00000390311.3	385	136	0	0
ENST00000390312.2	402	153	2.52	1.17673
ENST00000390315.3	382	133.001	0	0
ENST00000390316.2	461	212	1	0.337002
ENST00000620395.2	517	268	1.40142	0.373594
ENST00000390318.2	403	154	0	0
ENST00000390319.2	398	149	1	0.479492
ENST00000390313.3	356	107.022	0	0
ENST00000390314.2	400	151	7.07859	3.34917
ENST00000604066.1	353	104.031	1	0.686759
ENST00000557788.2	353	104.031	0	0
ENST00000630556.1	353	104.031	1	0.686759
ENST00000622410.2	353	104.031	0	0
ENST00000610349.2	407	158	0.5	0.22609
ENST00000628287.1	466	217	1.69941	0.55951
ENST00000627634.1	383	134.001	0	0
ENST00000628968.1	374	125.002	0	0
ENST00000618644.2	385	136	0	0
ENST00000618026.2	393	144	0	0
ENST00000630493.1	369	120.004	0	0
ENST00000629472.1	412	163	0	0
ENST00000626489.1	397	148	0	0
ENST00000354689.6	294	49.2782	0	0
ENST00000567458.2	358	109.017	0	0
ENST00000425181.3	350	101.044	0	0
ENST00000565407.2	349	100.049	0	0
ENST00000570121.2	353	104.031	0	0
