target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	0	0
ENST00000632205.1	532	283	33.632	3.60491
ENST00000632891.1	380	131.001	0	0
ENST00000633250.1	445	196	0	0
ENST00000631614.2	398	149	1.29056	0.262736
ENST00000633273.1	409	160	5.94604	1.12729
ENST00000632088.2	392	143	23.8363	5.05627
ENST00000632502.1	398	149	7.38643	1.50375
ENST00000632887.1	442	193	12.8998	2.02747
ENST00000632011.1	378	129.001	3.5	0.823005
ENST00000632229.1	378	129.001	2.30006	0.540846
ENST00000632822.1	400	151	37.7789	7.58928
ENST00000631699.1	406	157	0	0
ENST00000633851.1	390	141	0	0
ENST00000631531.1	382	133.001	3.49806	0.797815
ENST00000633682.1	390	141	0	0
ENST00000632910.1	390	141	2.5	0.537834
ENST00000634204.1	324	75.5516	1.30071	0.522236
ENST00000632835.1	382	133.001	1.49571	0.341131
ENST00000632103.1	398	149	0	0
ENST00000631411.1	398	149	13.5464	2.75783
ENST00000632811.1	312	64.392	0	0
ENST00000632384.1	314	66.2053	0	0
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	3.52924	0.477928
ENST00000633833.1	402	153	0	0
ENST00000632076.1	415	166	2.00885	0.367086
ENST00000633490.1	413	164	0	0
ENST00000632333.1	353	104.031	0	0
ENST00000632151.1	391	142	0	0
ENST00000632977.1	395	146	4.5	0.934949
ENST00000612474.2	402	153	4.37159	0.866716
ENST00000633618.1	427	178	0	0
ENST00000631807.1	420	171	10.7857	1.91329
ENST00000632980.1	432	183	19.0595	3.15928
ENST00000631826.1	411	162	0	0
ENST00000632719.1	425	176	1.63827	0.282359
ENST00000633426.1	571	322	0	0
ENST00000631755.1	425	176	0	0
ENST00000631975.1	430	181	0.51599	0.0864751
ENST00000633147.1	412	163	5.09871	0.948857
ENST00000631869.1	353	104.031	0	0
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	0	0
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	2.27062e-08	3.62509e-09
