target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	0	0
ENST00000632205.1	532	283	0	0
ENST00000632891.1	380	131.001	0	0
ENST00000633250.1	445	196	0	0
ENST00000631614.2	398	149	0	0
ENST00000633273.1	409	160	0	0
ENST00000632088.2	392	143	0	0
ENST00000632502.1	398	149	0	0
ENST00000632887.1	442	193	1.35614	3.10876
ENST00000632011.1	378	129.001	0	0
ENST00000632229.1	378	129.001	0	0
ENST00000632822.1	400	151	1.91817	5.62016
ENST00000631699.1	406	157	0	0
ENST00000633851.1	390	141	0	0
ENST00000631531.1	382	133.001	0	0
ENST00000633682.1	390	141	0	0
ENST00000632910.1	390	141	0.5	1.56887
ENST00000634204.1	324	75.5516	0	0
ENST00000632835.1	382	133.001	0	0
ENST00000632103.1	398	149	0	0
ENST00000631411.1	398	149	0	0
ENST00000632811.1	312	64.392	0	0
ENST00000632384.1	314	66.2053	0	0
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	0	0
ENST00000633833.1	402	153	0	0
ENST00000632076.1	415	166	0	0
ENST00000633490.1	413	164	0	0
ENST00000632333.1	353	104.031	0	0
ENST00000632151.1	391	142	0	0
ENST00000632977.1	395	146	0	0
ENST00000612474.2	402	153	3.87573e-08	1.12073e-07
ENST00000633618.1	427	178	3.48296e-07	8.65697e-07
ENST00000631807.1	420	171	2	5.17454
ENST00000632980.1	432	183	0	0
ENST00000631826.1	411	162	0	0
ENST00000632719.1	425	176	0	0
ENST00000633426.1	571	322	0	0
ENST00000631755.1	425	176	0	0
ENST00000631975.1	430	181	0	0
ENST00000633147.1	412	163	8.78969e-08	2.38574e-07
ENST00000631869.1	353	104.031	0	0
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	0	0
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	0	0
ENST00000620764.2	412	163	0	0
ENST00000633988.1	432	183	0	0
ENST00000632457.1	382	133.001	0	0
ENST00000619078.2	495	246	0.5	0.899234
ENST00000632173.1	434	185	0	0
ENST00000633040.1	435	186	0	0
ENST00000632846.1	429	180	0	0
ENST00000633602.1	439	190	0	0
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	0	0
ENST00000633446.1	411	162	0	0
ENST00000632614.1	414	165	0	0
ENST00000560724.3	378	129.001	0	0
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0	0
ENST00000631708.1	439	190	8.95345e-07	2.08485e-06
ENST00000632960.1	457	208	0	0
ENST00000633987.1	589	340	0.000424559	0.000552456
ENST00000632005.1	434	185	0	0
ENST00000633570.1	349	100.049	0	0
ENST00000615784.2	353	104.031	0	0
ENST00000633400.1	431	182	0	0
ENST00000631379.1	417	168	0	0
ENST00000632882.1	414	165	0	0
ENST00000632211.1	439	190	0	0
ENST00000632105.1	657	408	0	0
ENST00000632630.1	432	183	0.636319	1.53837
ENST00000633299.1	417	168	0	0
ENST00000633350.1	417	168	0.5	1.31674
ENST00000390282.2	419	170	0	0
ENST00000390287.2	365	116.007	0	0
ENST00000390283.2	414	165	0	0
ENST00000390284.2	362	113.011	0	0
