target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	11.5	2.68727
ENST00000632205.1	532	283	5521.82	724.947
ENST00000632891.1	380	131.001	571.176	161.996
ENST00000633250.1	445	196	76.7873	14.556
ENST00000631614.2	398	149	18.1562	4.52741
ENST00000633273.1	409	160	791.057	183.695
ENST00000632088.2	392	143	1878.36	488.038
ENST00000632502.1	398	149	285.699	71.2415
ENST00000632887.1	442	193	2745.73	528.579
ENST00000632011.1	378	129.001	566.12	163.052
ENST00000632229.1	378	129.001	429.359	123.662
ENST00000632822.1	400	151	6901.86	1698.24
ENST00000631699.1	406	157	45.4384	10.7531
ENST00000633851.1	390	141	267.931	70.6013
ENST00000631531.1	382	133.001	214.205	59.8391
ENST00000633682.1	390	141	153.058	40.3318
ENST00000632910.1	390	141	292.979	77.2017
ENST00000634204.1	324	75.5516	197.032	96.8956
ENST00000632835.1	382	133.001	130.209	36.3746
ENST00000632103.1	398	149	2.42588	0.604912
ENST00000631411.1	398	149	341.51	85.1583
ENST00000632811.1	312	64.392	20.2795	11.7014
ENST00000632384.1	314	66.2053	5.05919	2.83921
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	977.793	162.184
ENST00000633833.1	402	153	15.3538	3.72849
ENST00000632076.1	415	166	63.038	14.1093
ENST00000633490.1	413	164	61.6378	13.9641
ENST00000632333.1	353	104.031	53.9977	19.2851
ENST00000632151.1	391	142	527.954	138.139
ENST00000632977.1	395	146	1694.69	431.269
ENST00000612474.2	402	153	3318.09	805.762
ENST00000633618.1	427	178	7.65711e-08	1.59829e-08
ENST00000631807.1	420	171	1752.32	380.738
ENST00000632980.1	432	183	2271.14	461.108
ENST00000631826.1	411	162	5.54609	1.27199
ENST00000632719.1	425	176	27.9181	5.89362
ENST00000633426.1	571	322	205.976	23.7668
ENST00000631755.1	425	176	4.52079	0.954359
ENST00000631975.1	430	181	101.07	20.747
ENST00000633147.1	412	163	2476.05	564.393
ENST00000631869.1	353	104.031	1950.93	696.77
ENST00000633752.1	353	104.031	120.567	43.0601
ENST00000631710.1	433	184	75.772	15.3003
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	770.193	150.611
ENST00000620764.2	412	163	925.37	210.93
ENST00000633988.1	432	183	3003.3	609.758
ENST00000632457.1	382	133.001	561.613	156.889
ENST00000619078.2	495	246	1498.93	226.39
ENST00000632173.1	434	185	31.6151	6.3494
ENST00000633040.1	435	186	460.559	91.9988
ENST00000632846.1	429	180	12.7398	2.62967
ENST00000633602.1	439	190	72.1211	14.1032
ENST00000614315.1	303	56.5345	15.2996	10.0549
