target_id	length	eff_length	est_counts	tpm
ENST00000632585.1	408	159	57	8.62351
ENST00000632205.1	532	283	8338.53	708.776
ENST00000632891.1	380	131.001	792.255	145.478
ENST00000633250.1	445	196	151.666	18.6139
ENST00000631614.2	398	149	156.04	25.1917
ENST00000633273.1	409	160	1404.85	211.211
ENST00000632088.2	392	143	4665.24	784.772
ENST00000632502.1	398	149	1564.21	252.532
ENST00000632887.1	442	193	3841.7	478.821
ENST00000632011.1	378	129.001	1182.14	220.435
ENST00000632229.1	378	129.001	1432.78	267.173
ENST00000632822.1	400	151	6825.5	1087.34
ENST00000631699.1	406	157	504.124	77.2404
ENST00000633851.1	390	141	994.216	169.616
ENST00000631531.1	382	133.001	1435.8	259.685
ENST00000633682.1	390	141	35.9861	6.13934
ENST00000632910.1	390	141	2144.1	365.791
ENST00000634204.1	324	75.5516	814.575	259.355
ENST00000632835.1	382	133.001	243.935	44.1191
ENST00000632103.1	398	149	28.1137	4.53877
ENST00000631411.1	398	149	231.934	37.4441
ENST00000632811.1	312	64.392	33.6415	12.5675
ENST00000632384.1	314	66.2053	0	0
ENST00000622028.1	353	104.031	0	0
ENST00000634015.1	473	224	987.299	106.025
ENST00000633833.1	402	153	564.973	88.8266
ENST00000632076.1	415	166	366.011	53.0387
ENST00000633490.1	413	164	898.478	131.786
ENST00000632333.1	353	104.031	2.57446	0.595291
ENST00000632151.1	391	142	0	0
ENST00000632977.1	395	146	1625.86	267.878
ENST00000612474.2	402	153	11018.9	1732.43
ENST00000633618.1	427	178	2963.2	400.45
ENST00000631807.1	420	171	2192.7	308.453
ENST00000632980.1	432	183	7851.32	1032.04
ENST00000631826.1	411	162	16.043	2.38219
ENST00000632719.1	425	176	42.1543	5.7615
ENST00000633426.1	571	322	1133.21	84.6568
ENST00000631755.1	425	176	8.54281	1.1676
ENST00000631975.1	430	181	1005.57	133.641
ENST00000633147.1	412	163	5516.53	814.114
ENST00000631869.1	353	104.031	1750.43	404.751
ENST00000633752.1	353	104.031	4.13834	0.956905
ENST00000631710.1	433	184	280.16	36.6264
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	2439.43	308.845
ENST00000620764.2	412	163	1542.86	227.691
ENST00000633988.1	432	183	3447.1	453.116
ENST00000632457.1	382	133.001	408.55	73.892
ENST00000619078.2	495	246	4689.78	458.59
ENST00000632173.1	434	185	9.24637	1.20228
ENST00000633040.1	435	186	253.453	32.7786
ENST00000632846.1	429	180	404.069	53.9995
ENST00000633602.1	439	190	124.096	15.7112
ENST00000614315.1	303	56.5345	7.66002	3.25929
ENST00000632296.1	432	183	258.447	33.9725
ENST00000633446.1	411	162	163.93	24.3416
ENST00000632614.1	414	165	95.0115	13.8516
ENST00000560724.3	378	129.001	298.627	55.6854
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0.000723175	9.77305e-05
ENST00000631708.1	439	190	1498.18	189.678
ENST00000632960.1	457	208	270.223	31.2511
ENST00000633987.1	589	340	5763.68	407.781
ENST00000632005.1	434	185	4.9571	0.644558
ENST00000633570.1	349	100.049	1919.25	461.452
ENST00000615784.2	353	104.031	0	0
ENST00000633400.1	431	182	2242.83	296.436
ENST00000631379.1	417	168	9731.55	1393.41
ENST00000632882.1	414	165	1798.9	262.258
ENST00000632211.1	439	190	394.055	49.8896
ENST00000632105.1	657	408	4289.86	252.924
ENST00000632630.1	432	183	5660.98	744.126
ENST00000633299.1	417	168	1365.67	195.543
ENST00000633350.1	417	168	2211.8	316.696
ENST00000390282.2	419	170	297.281	42.0654
ENST00000390287.2	365	116.007	392	81.2844
ENST00000390283.2	414	165	929.985	135.581
ENST00000390284.2	362	113.011	1911.72	406.922
ENST00000390285.4	353	104.031	688	159.086
ENST00000390286.3	381	132.001	1	0.182234
ENST00000390289.2	379	130.001	173	32.0115
ENST00000390290.3	389	140	14450.4	2482.89
ENST00000390291.2	405	156	9.70754	1.49689
ENST00000427632.2	409	160	318	47.8094
ENST00000390293.1	369	120.004	4.2517	0.85226
ENST00000390294.2	407	158	2301.48	350.393
ENST00000390295.3	385	136	694.204	122.787
ENST00000390296.2	397	148	0.0814351	0.013236
ENST00000390297.3	467	218	4468.03	493.022
ENST00000390298.2	385	136	277.898	49.1532
ENST00000390299.2	407	158	1007.59	153.403
ENST00000390300.2	374	125.002	4.80852	0.925337
ENST00000390301.3	393	144	109.074	18.2207
ENST00000390302.3	412	163	0	0
ENST00000390303.3	383	134.001	2	0.359029
ENST00000390304.2	377	128.001	596	112.005
ENST00000390305.2	380	131.001	2539.99	466.406
ENST00000390306.2	502	253	18347.6	1744.47
ENST00000390307.2	409	160	1	0.150344
ENST00000390308.2	602	353	15404	1049.7
ENST00000390309.2	377	128.001	31346	5890.79
ENST00000390310.3	367	118.006	2192.48	446.931
ENST00000390311.3	385	136	62.6269	11.0771
ENST00000390312.2	402	153	10589.6	1664.92
ENST00000390315.3	382	133.001	300	54.2592
ENST00000390316.2	461	212	435.243	49.3858
ENST00000620395.2	517	268	4377.4	392.905
ENST00000390318.2	403	154	13	2.03062
ENST00000390319.2	398	149	8185.03	1321.42
ENST00000390313.3	356	107.022	13.068	2.93727
ENST00000390314.2	400	151	7772.92	1238.26
ENST00000604066.1	353	104.031	156.251	36.1298
ENST00000557788.2	353	104.031	5.92805	1.37074
ENST00000630556.1	353	104.031	156.251	36.1298
ENST00000622410.2	353	104.031	23.6778	5.47499
ENST00000610349.2	407	158	1007.59	153.403
ENST00000628287.1	466	217	32.1495	3.56386
ENST00000627634.1	383	134.001	2	0.359029
ENST00000628968.1	374	125.002	4.80852	0.925337
ENST00000618644.2	385	136	277.898	49.1532
ENST00000618026.2	393	144	109.074	18.2207
ENST00000630493.1	369	120.004	0	0
ENST00000629472.1	412	163	0	0
ENST00000626489.1	397	148	240.05	39.0163
ENST00000354689.6	294	49.2782	15.1147	7.37821
ENST00000567458.2	358	109.017	0	0
ENST00000425181.3	350	101.044	0	0
ENST00000565407.2	349	100.049	9.7148	2.33576
ENST00000570121.2	353	104.031	1	0.231229
ENST00000562905.2	353	104.031	2.05808	0.475888
ENST00000628219.1	534	285	29.3436	2.47671
ENST00000627132.1	384	135.001	417.146	74.3292
ENST00000626108.1	353	104.031	6.0941	1.40914
ENST00000338912.5	353	104.031	0	0
ENST00000558565.2	359	110.015	0	0
ENST00000569103.2	349	100.049	36.9562	8.8855
ENST00000453673.3	353	104.031	14.8027	3.42282
ENST00000390243.2	538	289	20271	1687.27
ENST00000464162.1	380	131.001	792.255	145.478
ENST00000390247.2	445	196	151.666	18.6139
ENST00000495489.1	398	149	156.04	25.1917
ENST00000493819.1	409	160	1404.85	211.211
ENST00000483158.1	392	143	4665.24	784.772
ENST00000480492.1	398	149	1564.21	252.532
ENST00000390252.2	442	193	3841.7	478.821
ENST00000479981.1	378	129.001	1182.14	220.435
ENST00000490686.1	378	129.001	1432.78	267.173
ENST00000492167.1	400	151	6825.5	1087.34
ENST00000390256.2	406	157	504.124	77.2404
ENST00000484817.1	390	141	994.216	169.616
ENST00000498435.1	382	133.001	1435.8	259.685
ENST00000482769.1	390	141	35.9861	6.13934
ENST00000468494.1	390	141	2144.1	365.791
ENST00000473726.1	382	133.001	243.935	44.1191
ENST00000465170.1	398	149	28.1137	4.53877
ENST00000498574.1	398	149	231.934	37.4441
ENST00000620613.1	314	66.2053	0	0
